UserPrompt,Category
My wife was tested positive for Covid today and I’m starting to have some symptoms like a runny nose and sore throat. How can I schedule a test to be done?,New Symptoms 
"Headache, lightheadedness, shakiness, double vision",New Symptoms 
"Fever, cough",New Symptoms 
I have been nauseous and throwing up for three days. I also have not been able to keep food down,New Symptoms 
"Chills, headache,chest hurts,cough,feel congested",New Symptoms 
I have a very red itchy rash on the top of both hands,New Symptoms 
"Blood pressure is high continuous sharp pain back of the head , neck and my right shoulder.  Have taken my BP medicine last night still pain is there",New Symptoms 
I'm a 35 year old male I'm wanting to get a check-up.  I want to get test ls for cancer I want my prostate checked and my a1c checked.,Assisted Scheduling or Find Care
I have lower back pain in my right side and my doctor doesn’t have appointments until March 5th,Back and Neck eligibility
Neck frozen ear ache high Blood pressure,New Symptoms 
I have bilateral double vision. My eye Dr recommended a neuro ophthalmologist but I need to know if ther is anyone in the baylor system to cover this condition.,Assisted Scheduling or Find Care
I visited the er In Alpine on Monday 2/19,General heath system navigation
My vagina feels little sore and yesterday it was burning when I pee,New Symptoms 
"Headache, body aches, sore throat, coughing up phlegm, chills/sweats, exhausted",New Symptoms 
"Sore throat, body aches, headache, cough",New Symptoms 
stuffed up ear,New Symptoms 
Trouble breathing and coughing up phlegm with small amounts of blood.,New Symptoms 
"Sore throat, earache",New Symptoms 
"Hello, I have tested positive for chlamydia at a free clinic and I need to be prescribed antibiotics",New Symptoms 
I need a strep test and medicine,New Symptoms 
"Cough, muscle aches, headache",New Symptoms 
"Headache, cough, runny nose, stuffiness, matted eyes",New Symptoms 
"Tiredness, drowsiness, anxiety, and dizziness when standing",New Symptoms 
I need a TB test done for school,Services
Wanting to lose weight,New Symptoms 
"My daughter has a red bump on the side of her left eye , I have applied warm compresses to eye but it will not go away.",New Symptoms 
"Sinus pain, sore throat, stuffy ears",New Symptoms 
Headaches on left side of head behind my eye!  Sore spot inside my left nostril! The headaches are dull and mostly all the time.  Does not affect my sleep but makes very irritable.  No fever.  Just had my teeth checked and all is fine there.,New Symptoms 
diabetic,New Symptoms 
I need to see an endocrinologist because I need to get a Prolia injection. How can I find one in the Austin area before August?,Assisted Scheduling or Find Care
My son Fainted at school while stretching..  bumped his head. School nurse and NP checked him out. Vitals are good he's conscious and alert. Should I still take him in? This is the first time this has ever happened.,New Symptoms 
"Fever, congestion, headache, dizziness",New Symptoms 
Small lump on inside of butthole/anus,New Symptoms 
Possible kidney disease,New Symptoms 
I have ear ache and head aches if I cough,New Symptoms 
My toenail is loose and I think it might be infected.,New Symptoms 
My blood pressure has been high lately.  On the 23rd  my blood pressure at my foot doctor office was 193/90. Later that day checked at home was 1444/81.  Today at 9:27am was 180/92 pulse 79. At 9:29am 178/92 pulse 77. Now at 11:22am 176/92 pulse 89,New Symptoms 
My toenail is loose and I think it might be infected.,New Symptoms 
nasal drip and back pain,New Symptoms 
"Fever, severe sore throat glands swollen puss pockets I do not have tonsils and my ears hurt",Back and Neck eligibility
"I have a lump under the skin. It’s on the right side of the stomach on the lower part,",New Symptoms 
Foot pain in the mornings and a little throughout day. Could it be a heal spur?,New Symptoms 
UTI test,New Symptoms 
"Dizzy, congested, fever",New Symptoms 
I simply need a refill of a prescription for sertraline that I've been taking since '94. I am new to BSW (as of Jan) and haven't accessed it for anything else so far. Is this refill consultation something I can do virtually/remotely?,Assisted Scheduling or Find Care
I have been having a nasal drip for last month or so.,New Symptoms 
"Flue like symptoms, covid test was negative. Feeling body aches, cold, sweating alot and throat pain from alot of coughing, headache is very strong",New Symptoms 
i need a pcp for my kids,Assisted Scheduling or Find Care
102 fever runny nose,New Symptoms 
"Feel very ill. Vomiting, headache. My white blood cells count is real high and my red blood cells count is low.",New Symptoms 
Sinus infection and upper respiratory,New Symptoms 
I’ve been experiencing some light bodily fatigue. The lower front of my throat has been sore for 3 days. I wake up with nasal congestion that’s been yellowish. I haven’t been sleeping well. I believe I may have caught a bug from the hospital,New Symptoms 
Ear ache possible related to concussion,New Symptoms 
"IBS, diarrhea, stomach gas",New Symptoms 
